@RELATION rfTemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Normal,Slurred}

@DATA
0.109684,0.019178,3.017449,0.254125,0.262876,0.690950,0.004705,0.107635,-27.899639,1.612192,0.125759,0.390250,0.366273,0.214640,0.108592,0.140711,-0.003605,-0.002883,0.063026,0.058146,0.096270,0.007990,0.000508,0.019164,0.010454,0.061877,0.001720,0.196877,0.000298,0.000880,0.005983,0.021377,0.004021,0.059130,0.036941,0.031163,0.208155,0.038709,0.024309,0.241347,0.006005,0.053443,1.543638,0.470924,0.163902,0.258803,0.367009,0.195662,0.152995,0.201756,0.161852,0.144692,0.143584,0.183376,0.148287,0.014979,0.000504,0.014163,0.007954,0.021495,0.002750,0.070055,0.000172,0.000843,0.011459,0.024258,0.010445,0.012856,Normal
0.116849,0.015391,3.024156,0.252349,0.264683,0.623655,0.005485,0.086281,-27.695609,1.672003,0.124731,0.471765,0.570209,0.240742,0.136250,0.127946,-0.020033,-0.044336,0.064300,0.048405,0.017889,0.011895,0.000359,0.017926,0.010472,0.069070,0.001019,0.197205,0.000288,0.000398,0.003646,0.023012,0.000660,0.060905,0.021965,0.018011,0.092537,0.021025,0.013326,0.112861,0.005798,0.019814,0.647582,0.279184,0.210992,0.130266,0.147294,0.112444,0.124964,0.114177,0.093027,0.106968,0.090609,0.110967,0.105648,0.018224,0.000250,0.014984,0.005041,0.013337,0.001048,0.040564,0.000288,0.000201,0.003942,0.019542,0.000660,0.006677,Normal
0.129412,0.007137,3.004365,0.260605,0.264770,0.746101,0.002581,0.112031,-28.052579,1.552404,0.069372,0.451137,0.434634,0.287509,0.120861,0.104519,0.007432,-0.026179,0.083074,0.002804,0.074895,0.012188,0.000540,0.012732,0.012172,0.070180,0.003063,0.196343,0.000515,0.002148,0.002155,0.014139,0.001735,0.057923,0.030870,0.014508,0.091896,0.028034,0.021808,0.186531,0.002372,0.048815,1.264100,0.285263,0.244979,0.210800,0.303095,0.167683,0.179047,0.105534,0.150970,0.123389,0.078725,0.130013,0.110392,0.019871,0.000620,0.009082,0.003951,0.019877,0.004970,0.053097,0.000839,0.003291,0.001373,0.008925,0.003439,0.010606,Normal
0.117287,0.008132,2.975561,0.260277,0.268488,0.683147,0.004188,0.098938,-27.959611,1.617504,0.125014,0.426516,0.463603,0.242740,0.208483,0.133899,-0.053567,-0.029201,0.077312,0.083615,0.128486,0.003434,0.000583,0.016527,0.012640,0.074520,0.002193,0.199691,0.000374,0.001136,0.003893,0.016117,0.001093,0.058365,0.031470,0.013212,0.169591,0.026241,0.015025,0.199345,0.003838,0.054518,0.751820,0.308957,0.141364,0.187953,0.261297,0.184121,0.132009,0.142862,0.132822,0.126328,0.131724,0.133842,0.105277,0.005252,0.000716,0.013924,0.007496,0.019557,0.003184,0.056101,0.000426,0.001373,0.006542,0.013505,0.001828,0.012047,Normal
0.123073,0.019053,2.874254,0.238792,0.240265,0.777510,0.010497,0.164750,-27.346000,1.974865,-0.003567,0.299620,0.119402,0.185575,0.103939,0.083437,-0.091609,-0.033927,0.028380,-0.008820,0.026019,0.015103,0.001573,0.026811,0.011689,0.042483,0.003906,0.128250,0.001778,0.004965,0.010612,0.026973,0.003722,0.044417,0.072516,0.024381,0.297560,0.072309,0.035985,0.453796,0.008314,0.142373,1.945169,0.680875,0.479968,0.325227,0.405461,0.304276,0.244027,0.179971,0.213364,0.174770,0.179464,0.174144,0.208470,0.021318,0.001635,0.021409,0.011376,0.022394,0.004029,0.072712,0.002008,0.006644,0.010718,0.028263,0.007643,0.015976,Normal
0.101893,0.004688,3.026925,0.251311,0.264505,0.650856,0.005328,0.084313,-29.319952,1.687671,0.062084,0.538004,0.519207,0.119141,0.160737,0.080833,0.026820,0.061360,0.082269,0.119614,0.123002,0.006459,0.000569,0.023725,0.010313,0.074939,0.001932,0.185256,0.000634,0.001261,0.004821,0.017881,0.000984,0.056420,0.029436,0.006690,0.112392,0.024482,0.017676,0.151622,0.005635,0.031546,0.936894,0.284049,0.254389,0.167210,0.151105,0.135498,0.119510,0.160860,0.112888,0.137620,0.153510,0.135506,0.123938,0.009839,0.000641,0.017014,0.004402,0.026658,0.002661,0.064267,0.000878,0.001833,0.005713,0.015408,0.001111,0.013101,Normal
0.104422,0.010628,2.969669,0.243100,0.258706,0.615999,0.004772,0.084250,-28.651852,1.814634,0.014141,0.471089,0.469147,0.129215,0.143298,0.101970,-0.013679,0.033937,0.113772,0.067326,0.089663,0.009014,0.000732,0.026985,0.010395,0.062344,0.002585,0.200682,0.000701,0.000744,0.004295,0.016938,0.001255,0.059826,0.027573,0.012956,0.165996,0.033931,0.022115,0.145319,0.004944,0.025322,1.028186,0.446329,0.306369,0.157744,0.201683,0.146905,0.129865,0.148036,0.155868,0.130864,0.158602,0.168683,0.145810,0.015334,0.001219,0.028629,0.005123,0.023025,0.004257,0.064776,0.000971,0.000694,0.003774,0.013363,0.002020,0.013121,Normal
0.107843,0.014290,2.994362,0.247782,0.261622,0.639485,0.007519,0.083969,-27.666868,1.701123,0.046108,0.487400,0.454422,0.120662,0.086805,0.083609,-0.001717,0.013730,0.118911,0.108825,0.125151,0.009815,0.000728,0.025240,0.012259,0.064445,0.001145,0.202885,0.000697,0.000734,0.003125,0.016346,0.000851,0.062163,0.029146,0.023276,0.151430,0.036335,0.024441,0.170430,0.012061,0.029630,1.177736,0.447179,0.341370,0.157455,0.208489,0.161341,0.161441,0.121855,0.109612,0.116157,0.141098,0.171820,0.135785,0.023568,0.001226,0.031498,0.009109,0.023915,0.001198,0.069728,0.001265,0.001046,0.002652,0.019492,0.001323,0.013444,Normal
0.124781,0.008241,3.007097,0.261429,0.266249,0.707553,0.007468,0.114729,-28.578380,1.656879,0.115596,0.456427,0.453887,0.085241,0.113015,0.087721,0.016383,0.023176,0.107915,0.072728,0.129700,0.008127,0.000582,0.020730,0.015524,0.070217,0.002469,0.192102,0.000724,0.000619,0.002797,0.015424,0.001002,0.059490,0.046878,0.009695,0.137600,0.038779,0.013353,0.277936,0.011074,0.081152,0.997156,0.357134,0.188485,0.192365,0.217467,0.150538,0.139073,0.122763,0.142682,0.128951,0.148255,0.165608,0.113799,0.012736,0.000692,0.026219,0.020124,0.019912,0.006240,0.056514,0.001257,0.000544,0.002106,0.015427,0.001394,0.012273,Normal
0.106336,0.006522,3.017992,0.251535,0.264831,0.626098,0.004170,0.085375,-28.883109,1.719380,0.008959,0.384822,0.500695,0.087447,0.107404,0.116681,-0.015790,0.008693,0.099750,0.125055,0.178444,0.008111,0.000471,0.018793,0.015449,0.068038,0.004024,0.210227,0.000352,0.000776,0.002291,0.012215,0.001870,0.062492,0.026937,0.013640,0.150213,0.031656,0.022425,0.083010,0.004478,0.015322,1.345623,0.386049,0.316969,0.168149,0.156687,0.116755,0.098842,0.090806,0.141324,0.153233,0.142426,0.122964,0.141038,0.016378,0.000665,0.014029,0.017990,0.018270,0.009413,0.059269,0.000370,0.001105,0.001774,0.012377,0.004551,0.011607,Normal
